,videoFileName,totalWords,totalNoun,totalConj,totalAdj,totalVerbs,totalAdv,totalPoi,totalMisce,totalWood,totalSwadesh,matchedWords_noSyn,matchedNoun_noSyn,matchedConj_noSyn,matchedAdj_noSyn,matchedVerbs_noSyn,matchedAdv_noSyn,matchedPoi_noSyn,matchedMisce_noSyn,matchedWood_noSyn,matchedSwadesh_noSyn,matchedSentence_noSyn,matchedWords_Syn,matchedNoun_Syn,matchedConj_Syn,matchedAdj_Syn,matchedVerbs_Syn,matchedAdv_Syn,matchedPoi_Syn,matchedMisce_Syn,matchedWood_Syn,matchedSwadesh_Syn,matchedSentence_Syn,matchedWords_Syn_out,matchedNoun_Syn_out,matchedConj_Syn_out,matchedAdj_Syn_out,matchedVerbs_Syn_out,matchedAdv_Syn_out,matchedPoi_Syn_out,matchedMisce_Syn_out,matchedWood_Syn_out,matchedSwadesh_Syn_out,matchedSentence_Syn_out
0,-g0iPSnQt6w_16-1-rgb_front.mp4,4,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,1
0,FZCEymcpq7I_6-1-rgb_front.mp4,8,6,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,,0,0,0,0,0,0,0,1
0,FZLxEwsoc1c_8-8-rgb_front.mp4,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,FZrWOf-oGDk_7-8-rgb_front.mp4,5,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,-g45vqccdzI_4-1-rgb_front.mp4,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,3,0,0,0,0,0,1
0,Fz-N1S0swh8_1-8-rgb_front.mp4,6,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,1
0,8kAWy2YodzQ_2-1-rgb_front.mp4,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,,1,0,0,0,0,0,0,1
0,FZNuNG9UBnw_8-1-rgb_front.mp4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,92V3oH63zbQ_19-1-rgb_front.mp4,4,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,2,1,,0,0,0,0,1,0,1,1
0,92V3oH63zbQ_2-1-rgb_front.mp4,5,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,FZNuNG9UBnw_9-1-rgb_front.mp4,7,3,0,2,1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,4,1,,2,1,0,0,0,0,1,1
